File Name,Predicted Name
bag1.jpg,Shirt
bag2.jpg,Bag
bag3.jpg,Bag
bag4.jpg,Shirt
bag5.jpg,Bag
boot1.jpg,Ankle boot
boot2.jpg,Ankle boot
boot3.jpg,Ankle boot
boot4.jpg,Sneaker
boot5.jpg,Dress
coat1.jpg,Shirt
coat2.jpg,Shirt
coat3.jpg,Shirt
coat4.jpg,Shirt
coat5.jpg,Coat
dress1.jpg,Dress
dress2.jpg,Dress
dress3.jpg,Dress
dress4.jpg,Dress
dress5.jpg,Dress
pullover1.jpg,Coat
pullover2.jpg,Shirt
pullover3.jpg,Pullover
pullover4.jpg,Coat
pullover5.jpg,Coat
sandal1.jpg,Sandal
sandal2.jpeg,Sneaker
sandal3.jpg,Sandal
sandal4.jpg,Sandal
sandal5.jpg,Sandal
shirt1.jpg,Shirt
shirt2.jpg,Shirt
shirt3.jpg,Coat
shirt4.jpg,Bag
shirt5.jpg,Shirt
sneaker1.jpg,Sneaker
sneaker2.jpg,Sneaker
sneaker3.jpg,Sandal
sneaker4.png,Sandal
sneaker5.jpg,Sandal
t-shirt1.jpg,Shirt
t-shirt2.jpg,Bag
t-shirt3.jpg,Shirt
t-shirt4.jpg,T-shirt/top
t-shirt5.jpg,Dress
trouser1.jpg,Trouser
trouser2.jpg,Trouser
trouser3.jpg,Trouser
trouser4.jpeg,Bag
trouser5.jpg,Shirt
