File Name,Predicted Name
bag1,Shirt
bag2,Bag
bag3,Bag
bag4,Shirt
bag5,Bag
boot1,Ankle boot
boot2,Ankle boot
boot3,Ankle boot
boot4,Sneaker
boot5,Dress
coat1,Shirt
coat2,Shirt
coat3,Shirt
coat4,Shirt
coat5,Coat
dress1,Dress
dress2,Dress
dress3,Dress
dress4,Dress
dress5,Dress
pullover1,Coat
pullover2,Shirt
pullover3,Pullover
pullover4,Coat
pullover5,Coat
sandal1,Sandal
sandal2,Sneaker
sandal3,Sandal
sandal4,Sandal
sandal5,Sandal
shirt1,Shirt
shirt2,Shirt
shirt3,Coat
shirt4,Bag
shirt5,Shirt
sneaker1,Sneaker
