File Name,Predicted Name
bag1.jpg,Shirt
bag2.jpg,Bag
bag3.jpg,Bag
bag4.jpg,Shirt
bag5.jpg,Bag
boot1.jpg,Sneaker
boot2.jpg,Shirt
boot3.jpg,T-shirt/top
boot4.jpg,Bag
boot5.jpg,Bag
coat1.jpg,Bag
coat2.jpg,Shirt
coat3.jpg,Coat
coat4.jpg,Dress
coat5.jpg,Coat
dress1.jpg,Dress
dress2.jpg,Dress
dress3.jpg,Dress
dress4.jpg,Dress
dress5.jpg,Dress
pullover1.jpg,Bag
pullover2.jpg,Shirt
pullover3.jpg,Pullover
pullover4.jpg,Coat
pullover5.jpg,Coat
sandal1.jpg,Sandal
sandal2.jpeg,Bag
sandal3.jpg,Bag
sandal4.jpg,Ankle boot
sandal5.jpg,Sneaker
shirt1.jpg,Shirt
shirt2.jpg,Coat
shirt3.jpg,Coat
shirt4.jpg,Bag
shirt5.jpg,Shirt
sneaker1.jpg,Bag
sneaker2.jpg,Bag
sneaker3.jpg,Sandal
sneaker4.png,Sandal
sneaker5.jpg,Sandal
t-shirt1.jpg,T-shirt/top
t-shirt2.jpg,Shirt
t-shirt3.jpg,T-shirt/top
t-shirt4.jpg,T-shirt/top
t-shirt5.jpg,T-shirt/top
trouser1.jpg,Trouser
trouser2.jpg,Trouser
trouser3.jpg,Trouser
trouser4.jpeg,Bag
trouser5.jpg,Shirt
